Country,GDP Per Capita,Per Day Cost
Qatar,"102,100",279.7260274
Liechtenstein,"89,400",244.9315068
Macau,"88,700",243.0136986
Bermuda,"86,000",235.6164384
Monaco,"85,500",234.2465753
Luxembourg,"77,900",213.4246575
Singapore,"62,400",170.9589041
Jersey,"57,000",156.1643836
Norway,"55,400",151.7808219
Falkland Islands,"55,400",151.7808219
San Marino[11],"55,000",150.6849315
Switzerland,"54,800",150.1369863
Brunei,"54,800",150.1369863
Isle of Man,"53,800",147.3972603
United States,"52,800",144.6575342
Hong Kong,"52,700",144.3835616
Guernsey,"44,600",122.1917808
Cayman Islands,"43,800",120
Canada,"43,100",118.0821918
Australia,"43,000",117.8082192
Gibraltar,"43,000",117.8082192
Austria,"42,600",116.7123288
"Virgin Islands, British","42,300",115.890411
Kuwait,"42,100",115.3424658
Netherlands,"41,400",113.4246575
Ireland,"41,300",113.1506849
Sweden,"40,900",112.0547945
Iceland,"40,700",111.5068493
Taiwan,"39,600",108.4931507
Germany,"39,500",108.2191781
Greenland,"38,400",105.2054795
Belgium,"37,800",103.5616438
Denmark,"37,800",103.5616438
New Caledonia,"37,700",103.2876712
United Kingdom,"37,300",102.1917808
Andorra,"37,200",101.9178082
Japan,"37,100",101.6438356
Israel,"36,200",99.17808219
Finland,"35,900",98.35616438
France,"35,700",97.80821918
Saint Pierre and Miquelon,"34,900",95.61643836
European Union,"34,500",94.52054795
South Korea,"33,200",90.95890411
"Bahamas, The","32,000",87.67123288
Saudi Arabia,"31,300",85.75342466
Faroe Islands,"30,500",83.56164384
New Zealand,"30,400",83.28767123
Spain,"30,100",82.46575342
United Arab Emirates,"29,900",81.91780822
Oman,"29,800",81.64383562
Bahrain,"29,800",81.64383562
Italy,"29,600",81.09589041
Turks and Caicos Islands,"29,100",79.7260274
Guam,"28,700",78.63013699
Malta,"27,500",75.34246575
Slovenia,"27,400",75.06849315
Czech Republic,"27,200",74.52054795
Seychelles,"25,900",70.95890411
Equatorial Guinea,"25,700",70.4109589
Aruba,"25,300",69.31506849
Barbados,"25,100",68.76712329
Slovakia,"24,700",67.67123288
Cyprus,"24,500",67.12328767
Greece,"23,600",64.65753425
Portugal,"22,900",62.73972603
Lithuania,"22,600",61.91780822
Estonia,"22,400",61.36986301
French Polynesia,"22,000",60.2739726
Timor-Leste,"21,400",58.63013699
Poland,"21,100",57.80821918
Trinidad and Tobago,"20,300",55.61643836
Hungary,"19,800",54.24657534
Gabon,"19,200",52.60273973
Latvia,"19,100",52.32876712
Chile,"19,100",52.32876712
Argentina,"18,600",50.95890411
Antigua and Barbuda,"18,400",50.4109589
Russia,"18,100",49.5890411
Croatia,"17,800",48.76712329
Malaysia,"17,500",47.94520548
Uruguay,"16,600",45.47945205
Panama,"16,500",45.20547945
Botswana,"16,400",44.93150685
Saint Kitts and Nevis,"16,300",44.65753425
Puerto Rico,"16,300",44.65753425
Belarus,"16,100",44.10958904
Mauritius,"16,100",44.10958904
Lebanon,"15,800",43.28767123
Mexico,"15,600",42.73972603
Sint Maarten,"15,400",42.19178082
Turkey,"15,300",41.91780822
Curaçao,"15,000",41.09589041
